query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
186,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,912,58,1824,908,912,411,280,50,50,10,1
187,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,877,53,1664,873,877,307,183,50,50,10,1
188,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,987,56,1760,983,987,412,283,50,50,10,1
189,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,935,61,1920,931,935,481,327,50,50,10,1
190,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,975,67,2112,971,975,479,342,50,50,10,1
191,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,958,54,1696,954,958,355,226,50,50,10,1
192,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1320,63,1984,1316,1320,411,250,50,50,10,1
193,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1014,61,1920,1010,1014,456,320,50,50,10,1
194,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1070,58,1824,1066,1070,400,259,50,50,10,1
195,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,951,54,1696,947,951,369,220,50,50,10,1
196,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.6,4,1155,64,2016,1151,1155,446,292,50,50,10,1
197,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1032,56,1760,1028,1032,381,247,50,50,10,1
198,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,670,58,1824,666,670,391,266,50,50,10,1
199,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.4,4,1255,62,1952,1251,1255,411,254,50,50,10,1
200,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1028,55,1728,1024,1028,365,230,50,50,10,1
